Date;Location;Product;Sales
2022.10.02;Location A;Bread;405
2022.10.02;Location A;Pastry;306
2022.10.02;Location A;Croissant;345
2022.10.02;Location C;Pastry;178
2022.10.02;Location C;Croissant;200
2022.10.02;Location C;Bread;201
2022.10.02;Location B;Croissant;90
2022.10.02;Location B;Bread;108
2022.10.02;Location B;Pastry;105
2022.10.01;Location A;Croissant;377
2022.10.01;Location A;Bread;304
2022.10.01;Location A;Pastry;93
2022.10.01;Location C;Pastry;108
2022.10.01;Location C;Bread;232
2022.10.01;Location C;Croissant;204
2022.10.01;Location B;Pastry;199
2022.10.01;Location B;Croissant;193
2022.10.01;Location B;Bread;274
2022.09.30;Location A;Pastry;167
2022.09.30;Location A;Croissant;569
2022.09.30;Location A;Bread;478
2022.09.30;Location C;Croissant;209
2022.09.30;Location C;Pastry;144
2022.09.30;Location C;Bread;186
2022.09.30;Location B;Bread;172
2022.09.30;Location B;Pastry;101
2022.09.30;Location B;Croissant;139
2022.09.29;Location A;Bread;225
2022.09.29;Location A;Pastry;96
2022.09.29;Location A;Croissant;286
2022.09.29;Location C;Bread;133
2022.09.29;Location C;Pastry;158
2022.09.29;Location C;Croissant;156
2022.09.29;Location B;Bread;246
2022.09.29;Location B;Croissant;187
2022.09.29;Location B;Pastry;111
2022.09.28;Location A;Pastry;294
2022.09.28;Location A;Croissant;303
2022.09.28;Location A;Bread;170
2022.09.28;Location C;Croissant;116
2022.09.28;Location C;Pastry;82
2022.09.28;Location C;Bread;154
2022.09.28;Location B;Croissant;139
2022.09.28;Location B;Pastry;196
2022.09.28;Location B;Bread;160
2022.09.27;Location A;Croissant;283
2022.09.27;Location A;Pastry;299
2022.09.27;Location A;Bread;212
2022.09.27;Location C;Bread;157
2022.09.27;Location C;Pastry;104
2022.09.27;Location C;Croissant;105
2022.09.27;Location B;Croissant;158
2022.09.27;Location B;Pastry;145
2022.09.27;Location B;Bread;116
2022.09.26;Location A;Croissant;373
2022.09.26;Location A;Bread;352
2022.09.26;Location A;Pastry;163
2022.09.26;Location C;Croissant;127
2022.09.26;Location C;Bread;248
2022.09.26;Location C;Pastry;176
2022.09.26;Location B;Pastry;142
2022.09.26;Location B;Croissant;142
2022.09.26;Location B;Bread;215
2022.09.25;Location A;Pastry;415
2022.09.25;Location A;Croissant;395
2022.09.25;Location A;Bread;641
2022.09.25;Location C;Bread;174
2022.09.25;Location C;Pastry;88
2022.09.25;Location C;Croissant;191
2022.09.25;Location B;Bread;224
2022.09.25;Location B;Croissant;255
2022.09.25;Location B;Pastry;160
2022.09.24;Location A;Pastry;266
2022.09.24;Location A;Croissant;396
2022.09.24;Location A;Bread;401
2022.09.24;Location C;Pastry;99
2022.09.24;Location C;Croissant;174
2022.09.24;Location C;Bread;228
2022.09.24;Location B;Pastry;171
2022.09.24;Location B;Croissant;175
2022.09.24;Location B;Bread;225
2022.09.23;Location A;Croissant;560
2022.09.23;Location A;Bread;676
2022.09.23;Location A;Pastry;369
2022.09.23;Location C;Croissant;195
2022.09.23;Location C;Pastry;90
2022.09.23;Location C;Bread;221
2022.09.23;Location B;Croissant;136
2022.09.23;Location B;Pastry;258
2022.09.23;Location B;Bread;269
2022.09.22;Location A;Croissant;337
2022.09.22;Location A;Pastry;313
2022.09.22;Location A;Bread;428
2022.09.22;Location C;Pastry;119
2022.09.22;Location C;Croissant;193
2022.09.22;Location C;Bread;198
2022.09.22;Location B;Bread;310
2022.09.22;Location B;Croissant;87
2022.09.22;Location B;Pastry;154
2022.09.21;Location A;Croissant;296
2022.09.21;Location A;Pastry;275
2022.09.21;Location A;Bread;478
2022.09.21;Location C;Pastry;189
2022.09.21;Location C;Croissant;161
2022.09.21;Location C;Bread;192
2022.09.21;Location B;Pastry;153
2022.09.21;Location B;Bread;204
2022.09.21;Location B;Croissant;200
2022.09.20;Location A;Bread;394
2022.09.20;Location A;Pastry;128
2022.09.20;Location A;Croissant;460
2022.09.20;Location C;Bread;142
2022.09.20;Location C;Pastry;54
2022.09.20;Location C;Croissant;132
2022.09.20;Location B;Croissant;134
2022.09.20;Location B;Pastry;156
2022.09.20;Location B;Bread;109
2022.09.19;Location A;Pastry;287
2022.09.19;Location A;Croissant;468
2022.09.19;Location A;Bread;485
2022.09.19;Location C;Pastry;166
2022.09.19;Location C;Bread;159
2022.09.19;Location C;Croissant;240
2022.09.19;Location B;Pastry;133
2022.09.19;Location B;Bread;161
2022.09.19;Location B;Croissant;256
2022.09.18;Location A;Croissant;503
2022.09.18;Location A;Pastry;372
2022.09.18;Location A;Bread;397
2022.09.18;Location C;Croissant;263
2022.09.18;Location C;Pastry;181
2022.09.18;Location C;Bread;338
2022.09.18;Location B;Pastry;266
2022.09.18;Location B;Croissant;167
2022.09.18;Location B;Bread;255
2022.09.17;Location A;Pastry;401
2022.09.17;Location A;Bread;520
2022.09.17;Location A;Croissant;418
2022.09.17;Location C;Croissant;127
2022.09.17;Location C;Pastry;177
2022.09.17;Location C;Bread;249
2022.09.17;Location B;Bread;176
2022.09.17;Location B;Pastry;143
2022.09.17;Location B;Croissant;178
2022.09.16;Location A;Croissant;476
2022.09.16;Location A;Pastry;412
2022.09.16;Location A;Bread;460
2022.09.16;Location C;Bread;96
2022.09.16;Location C;Croissant;126
2022.09.16;Location C;Pastry;121
2022.09.16;Location B;Bread;277
2022.09.16;Location B;Croissant;176
2022.09.16;Location B;Pastry;225
2022.09.15;Location A;Bread;349
2022.09.15;Location A;Pastry;383
2022.09.15;Location A;Croissant;414
2022.09.15;Location C;Croissant;45
2022.09.15;Location C;Pastry;105
2022.09.15;Location C;Bread;168
2022.09.15;Location B;Bread;307
2022.09.15;Location B;Pastry;90
2022.09.15;Location B;Croissant;206
2022.09.14;Location A;Croissant;403
2022.09.14;Location A;Bread;430
2022.09.14;Location A;Pastry;266
2022.09.14;Location C;Bread;262
2022.09.14;Location C;Pastry;165
2022.09.14;Location C;Croissant;277
2022.09.14;Location B;Bread;176
2022.09.14;Location B;Pastry;85
2022.09.14;Location B;Croissant;114
2022.09.13;Location A;Croissant;332
2022.09.13;Location A;Pastry;334
2022.09.13;Location A;Bread;378
2022.09.13;Location C;Pastry;39
2022.09.13;Location C;Croissant;195
2022.09.13;Location C;Bread;199
2022.09.13;Location B;Croissant;143
2022.09.13;Location B;Pastry;206
2022.09.13;Location B;Bread;269
2022.09.12;Location A;Croissant;540
2022.09.12;Location A;Bread;425
2022.09.12;Location A;Pastry;308
2022.09.12;Location C;Pastry;141
2022.09.12;Location C;Croissant;178
2022.09.12;Location C;Bread;190
2022.09.12;Location B;Bread;280
2022.09.12;Location B;Pastry;61
2022.09.11;Location A;Bread;452
2022.09.11;Location A;Croissant;438
2022.09.11;Location A;Pastry;295
2022.09.11;Location C;Bread;326
2022.09.11;Location C;Croissant;337
2022.09.11;Location C;Pastry;62
2022.09.11;Location B;Bread;224
2022.09.11;Location B;Croissant;83
2022.09.11;Location B;Pastry;202
2022.09.10;Location A;Pastry;260
2022.09.10;Location A;Croissant;351
2022.09.10;Location A;Bread;480
2022.09.10;Location C;Pastry;215
2022.09.10;Location C;Bread;231
2022.09.10;Location C;Croissant;299
2022.09.10;Location B;Pastry;132
2022.09.10;Location B;Bread;278
2022.09.10;Location B;Croissant;149
2022.09.09;Location A;Pastry;215
2022.09.09;Location A;Croissant;401
2022.09.09;Location A;Bread;395
2022.09.09;Location C;Croissant;167
2022.09.09;Location C;Bread;235
2022.09.09;Location C;Pastry;110
2022.09.09;Location B;Croissant;175
2022.09.09;Location B;Bread;217
2022.09.09;Location B;Pastry;63
2022.09.08;Location A;Bread;290
2022.09.08;Location A;Croissant;348
2022.09.08;Location A;Pastry;280
2022.09.08;Location C;Croissant;81
2022.09.08;Location C;Pastry;135
2022.09.08;Location C;Bread;242
2022.09.08;Location B;Bread;271
2022.09.08;Location B;Pastry;216
2022.09.08;Location B;Croissant;265
2022.09.07;Location A;Bread;361
2022.09.07;Location A;Pastry;205
2022.09.07;Location A;Croissant;252
2022.09.07;Location C;Croissant;173
2022.09.07;Location C;Bread;186
2022.09.07;Location C;Pastry;99
2022.09.07;Location B;Croissant;228
2022.09.07;Location B;Bread;169
2022.09.07;Location B;Pastry;212
2022.09.06;Location A;Croissant;368
2022.09.06;Location A;Pastry;194
2022.09.06;Location A;Bread;302
2022.09.06;Location C;Pastry;56
2022.09.06;Location C;Bread;155
2022.09.06;Location C;Croissant;155
2022.09.06;Location B;Croissant;143
2022.09.06;Location B;Pastry;155
2022.09.06;Location B;Bread;192
2022.09.05;Location A;Pastry;315
2022.09.05;Location A;Croissant;199
2022.09.05;Location A;Bread;446
2022.09.05;Location C;Pastry;171
2022.09.05;Location C;Bread;157
2022.09.05;Location C;Croissant;159
2022.09.05;Location B;Croissant;132
2022.09.05;Location B;Pastry;165
2022.09.05;Location B;Bread;289
2022.09.04;Location A;Croissant;111
2022.09.04;Location A;Bread;273
2022.09.04;Location A;Pastry;183
2022.09.04;Location C;Pastry;170
2022.09.04;Location C;Bread;244
2022.09.04;Location C;Croissant;205
2022.09.04;Location B;Croissant;267
2022.09.04;Location B;Bread;421
2022.09.04;Location B;Pastry;163
2022.09.03;Location A;Pastry;341
2022.09.03;Location A;Bread;332
2022.09.03;Location A;Croissant;472
2022.09.03;Location C;Bread;170
2022.09.03;Location C;Croissant;213
2022.09.03;Location C;Pastry;172
2022.09.03;Location B;Bread;339
2022.09.03;Location B;Pastry;125
2022.09.03;Location B;Croissant;251
2022.09.02;Location A;Croissant;512
2022.09.02;Location A;Bread;545
2022.09.02;Location A;Pastry;338
2022.09.02;Location C;Croissant;362
2022.09.02;Location C;Bread;465
2022.09.02;Location C;Pastry;167
2022.09.02;Location B;Bread;155
2022.09.02;Location B;Pastry;203
2022.09.02;Location B;Croissant;90
2022.09.01;Location A;Bread;690
2022.09.01;Location A;Croissant;257
2022.09.01;Location A;Pastry;320
2022.09.01;Location C;Bread;278
2022.09.01;Location C;Pastry;149
2022.09.01;Location C;Croissant;189
2022.09.01;Location B;Bread;181
2022.09.01;Location B;Croissant;104
2022.09.01;Location B;Pastry;232
2022.08.31;Location A;Bread;511
2022.08.31;Location A;Pastry;395
2022.08.31;Location A;Croissant;366
2022.08.31;Location C;Pastry;130
2022.08.31;Location C;Bread;394
2022.08.31;Location B;Bread;304
2022.08.31;Location B;Pastry;190
2022.08.31;Location B;Croissant;84
2022.08.30;Location A;Croissant;574
2022.08.30;Location A;Pastry;95
2022.08.30;Location A;Bread;563
2022.08.30;Location C;Pastry;35
2022.08.30;Location C;Bread;303
2022.08.30;Location B;Pastry;119
2022.08.30;Location B;Bread;236
2022.08.30;Location B;Croissant;178
2022.08.29;Location A;Bread;482
2022.08.29;Location A;Croissant;329
2022.08.29;Location C;Croissant;181
2022.08.29;Location C;Bread;332
2022.08.29;Location C;Pastry;136
2022.08.29;Location B;Croissant;195
2022.08.29;Location B;Bread;136
2022.08.29;Location B;Pastry;151
2022.08.28;Location A;Pastry;141
2022.08.28;Location A;Croissant;537
2022.08.28;Location A;Bread;626
2022.08.28;Location C;Bread;764
2022.08.28;Location C;Pastry;249
2022.08.28;Location C;Croissant;347
2022.08.28;Location B;Bread;63
2022.08.28;Location B;Pastry;161
2022.08.28;Location B;Croissant;153
2022.08.27;Location A;Croissant;593
2022.08.27;Location A;Bread;580
2022.08.27;Location A;Pastry;183
2022.08.27;Location C;Bread;660
2022.08.27;Location C;Pastry;296
2022.08.27;Location C;Croissant;340
2022.08.27;Location B;Bread;368
2022.08.27;Location B;Pastry;257
2022.08.27;Location B;Croissant;214
2022.08.26;Location A;Croissant;399
2022.08.26;Location A;Bread;414
2022.08.26;Location A;Pastry;202
2022.08.26;Location C;Bread;706
2022.08.26;Location C;Pastry;211
2022.08.26;Location C;Croissant;276
2022.08.26;Location B;Pastry;169
2022.08.26;Location B;Croissant;159
2022.08.26;Location B;Bread;346
2022.08.25;Location A;Croissant;445
2022.08.25;Location A;Bread;301
2022.08.25;Location A;Pastry;244
2022.08.25;Location C;Pastry;168
2022.08.25;Location C;Bread;377
2022.08.25;Location C;Croissant;252
2022.08.25;Location B;Pastry;240
2022.08.25;Location B;Croissant;196
2022.08.25;Location B;Bread;236
2022.08.24;Location A;Bread;344
2022.08.24;Location A;Pastry;301
